distance,time
2.036388635635376,1594977314.327176
2.052523136138916,1594977314.737484
2.007235050201416,1594977315.1272078
2.041476011276245,1594977315.5280862
2.020318031311035,1594977315.928226
2.0182204246520996,1594977316.3288558
2.029127836227417,1594977316.7289321
1.9979339838027954,1594977317.129857
2.0258522033691406,1594977317.5287929
2.0352587699890137,1594977317.928722
2.034605026245117,1594977318.3314896
2.034605026245117,1594977318.7304373
2.0139620304107666,1594977319.1374495
2.0227603912353516,1594977319.5312817
2.0534074306488037,1594977319.931219
2.036699056625366,1594977320.3314044
2.036699056625366,1594977320.73132
2.039888620376587,1594977321.1319826
2.069335699081421,1594977321.5322537
2.0895941257476807,1594977321.9332836
1.990769386291504,1594977322.3318868
2.0284833908081055,1594977322.7360039
2.0863194465637207,1594977323.1346276
2.0400733947753906,1594977323.532681
2.0339760780334473,1594977323.9334908
2.0322089195251465,1594977324.3425205
1.9961034059524536,1594977324.737855
2.020397424697876,1594977325.1346686
2.0726449489593506,1594977325.5385802
2.032198429107666,1594977325.9351616
2.035425901412964,1594977326.335215
2.0297951698303223,1594977326.73612
2.0488035678863525,1594977327.1400204
2.0493688583374023,1594977327.5359173
2.0285420417785645,1594977327.9368715
2.0264742374420166,1594977328.337717
2.067905902862549,1594977328.7476203
2.0248429775238037,1594977329.1375988
2.0758306980133057,1594977329.5376287
2.047963857650757,1594977329.9395905
2.030731201171875,1594977330.338501
2.030731201171875,1594977330.739685
2.0211706161499023,1594977331.1396286
2.02856183052063,1594977331.5381627
2.0329976081848145,1594977331.9392304
2.0629937648773193,1594977332.3391309
2.0393660068511963,1594977332.7402253
2.0370311737060547,1594977333.1401393
2.044632911682129,1594977333.550058
2.0027010440826416,1594977333.9410152
2.038756847381592,1594977334.3431833
2.056563377380371,1594977334.742846
2.025899648666382,1594977335.1417933
2.0510761737823486,1594977335.5417078
2.0417640209198,1594977335.9455163
2.059370517730713,1594977336.343454
2.023435115814209,1594977336.7425003
2.0260868072509766,1594977337.1433158
2.035111665725708,1594977337.5446851
2.0338404178619385,1594977337.9443214
2.0318186283111572,1594977338.3532038
2.0544753074645996,1594977338.7450318
2.032160997390747,1594977339.1463385
2.049975872039795,1594977339.5461779
2.049975872039795,1594977339.945002
2.0313355922698975,1594977340.349869
2.0689263343811035,1594977340.7468202
1.9983255863189697,1594977341.1457357
2.04718017578125,1594977341.5466695
2.0781097412109375,1594977341.946476
2.0534636974334717,1594977342.347306
2.0436551570892334,1594977342.7481625
2.0594918727874756,1594977343.1508148
2.0374865531921387,1594977343.5491617
2.0557801723480225,1594977343.9477973
2.0624704360961914,1594977344.3477008
2.0394909381866455,1594977344.7559142
2.0400547981262207,1594977345.1485898
2.047943115234375,1594977345.5495305
2.062314510345459,1594977345.9504325
2.048661470413208,1594977346.3493707
2.042085647583008,1594977346.7503033
2.0467355251312256,1594977347.1502142
2.052278518676758,1594977347.552247
2.0414505004882812,1594977347.9519427
2.0414505004882812,1594977348.3509963
2.0592710971832275,1594977348.7510047
2.0460898876190186,1594977349.1518822
2.021627426147461,1594977349.552799
2.0131947994232178,1594977349.9536839
2.034168243408203,1594977350.3526525
2.022486686706543,1594977350.7526178
2.039428472518921,1594977351.1528337
2.039428472518921,1594977351.5537176
2.0572969913482666,1594977351.9552422
2.0332586765289307,1594977352.3545282
2.0600802898406982,1594977352.7554002
2.0280284881591797,1594977353.155062
2.046024799346924,1594977353.5550876
2.046024799346924,1594977353.9550169
2.0659749507904053,1594977354.3558557
2.05117130279541,1594977354.7570922
2.0442521572113037,1594977355.16481
2.0430850982666016,1594977355.5597324
2.0559325218200684,1594977355.9566686
2.044346809387207,1594977356.358602
2.0502872467041016,1594977356.7574356
2.068636178970337,1594977357.1585052
2.072317361831665,1594977357.5575273
2.038649082183838,1594977357.9592218
2.038649082183838,1594977358.3582346
2.0330727100372314,1594977358.7583394
2.021554470062256,1594977359.1590612
2.0632314682006836,1594977359.5590088
2.025308609008789,1594977359.9589536
2.041889190673828,1594977360.3598895
2.028857469558716,1594977360.7609096
2.047903299331665,1594977361.1607661
2.0526645183563232,1594977361.5605607
2.034679651260376,1594977361.9606302
2.039780378341675,1594977362.3615656
2.0800352096557617,1594977362.7615113
2.0546419620513916,1594977363.1614408
2.0260062217712402,1594977363.5622406
2.0468196868896484,1594977363.9622896
2.0067710876464844,1594977364.3632157
2.073964834213257,1594977364.7631495
2.0424606800079346,1594977365.1650932
2.031865119934082,1594977365.5791867
2.034804582595825,1594977365.9639466
2.0445556640625,1594977366.3638694
2.022284746170044,1594977366.7647219
2.0457777976989746,1594977367.1647775
2.0416815280914307,1594977367.5649245
2.0480759143829346,1594977367.9667854
2.0347230434417725,1594977368.365523
2.0728325843811035,1594977368.7664535
2.066277503967285,1594977369.1663918
2.027193546295166,1594977369.5705154
2.0386850833892822,1594977369.9674225
2.0270636081695557,1594977370.36808
2.082764148712158,1594977370.7679005
2.0551936626434326,1594977371.167832
2.029848098754883,1594977371.567897
2.035672187805176,1594977371.9756699
2.0419063568115234,1594977372.3697112
2.026792287826538,1594977372.768665
2.0106041431427,1594977373.1695108
2.043781280517578,1594977373.5714426
2.0261197090148926,1594977373.9724793
2.051814079284668,1594977374.371267
2.0903232097625732,1594977374.7712302
2.0108091831207275,1594977375.1702652
2.0274670124053955,1594977375.5711813
2.0318217277526855,1594977375.9709873
2.0378711223602295,1594977376.3716147
2.017042398452759,1594977376.773406
2.041862964630127,1594977377.1735501
2.050382137298584,1594977377.5742645
2.1038613319396973,1594977377.972326
2.0133283138275146,1594977378.3764353
2.0408577919006348,1594977378.7731946
2.0335030555725098,1594977379.173158
1.992089867591858,1594977379.5740213
2.0153815746307373,1594977379.9750154
2.0481598377227783,1594977380.3739147
2.0330090522766113,1594977380.7750797
2.037214756011963,1594977381.1847591
2.0036849975585938,1594977381.5757005
2.0423948764801025,1594977381.9766865
2.0384905338287354,1594977382.3768206
2.04484224319458,1594977382.7774684
2.030149459838867,1594977383.1763833
2.0427844524383545,1594977383.5783432
2.040815830230713,1594977383.977274
2.0177180767059326,1594977384.377204
2.0366370677948,1594977384.7783585
2.0366370677948,1594977385.1780632
2.0366370677948,1594977385.5789824
2.0256423950195312,1594977385.9780664
2.0392606258392334,1594977386.383747
2.059907913208008,1594977386.7787888
2.045403003692627,1594977387.1807156
2.0187549591064453,1594977387.5808825
2.044294834136963,1594977387.9795737
2.105394124984741,1594977388.380507
2.0458691120147705,1594977388.7804127
2.0479416847229004,1594977389.1803584
2.0385007858276367,1594977389.5812967
2.0108909606933594,1594977389.9818153
2.033358097076416,1594977390.3818457
2.0241546630859375,1594977390.7817688
