distance20,distance30,distance40,distance50,time
-0.12366773933172226,-0.17637135088443756,-0.14182652533054352,0.0,1594715849.7607312
-0.12366773933172226,-0.17637135088443756,-0.14182652533054352,0.0,1594715849.7707083
-0.12366773933172226,-0.17637135088443756,-0.1339755803346634,0.0,1594715849.7816784
-0.12366773933172226,-0.16389915347099304,-0.1339755803346634,0.0,1594715849.7906563
-0.12366773933172226,-0.16389915347099304,-0.1339755803346634,0.0,1594715849.8006275
-0.12366773933172226,-0.0018465053290128708,-0.1339755803346634,0.0,1594715849.810601
-0.12366773933172226,-0.0018465053290128708,-0.1339755803346634,0.0,1594715849.8215733
-0.12366773933172226,-0.0018465053290128708,-0.14905840158462524,0.0,1594715849.8315458
-0.12366773933172226,-0.15293915569782257,-0.14905840158462524,0.0,1594715849.840521
-0.12366773933172226,-0.15293915569782257,-0.14905840158462524,0.0,1594715849.8524892
-0.12366773933172226,-0.15293915569782257,-0.14905840158462524,0.0,1594715849.8604674
-0.12366773933172226,-0.15293915569782257,-0.12886230647563934,0.0,1594715849.8784199
-0.2085382342338562,-0.15293915569782257,-0.12886230647563934,0.0,1594715849.8814104
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.8913858
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.9003613
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.910335
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.9213057
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.9302797
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.9412527
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.9512255
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.9602022
-0.2085382342338562,-0.16101016104221344,-0.12886230647563934,0.0,1594715849.9711726
-0.2085382342338562,-0.16101016104221344,0.004713815171271563,0.0,1594715849.980149
-0.2085382342338562,-0.16101016104221344,0.004713815171271563,0.0,1594715849.9921165
-0.2085382342338562,-0.16101016104221344,0.004713815171271563,0.0,1594715850.0050812
-0.2085382342338562,-0.16101016104221344,-0.1472209244966507,0.0,1594715850.011065
-0.14498868584632874,-0.16101016104221344,-0.1472209244966507,0.0,1594715850.021038
-0.14498868584632874,-0.11068956553936005,-0.1472209244966507,0.0,1594715850.0320098
-0.2523382306098938,-0.11068956553936005,-0.1472209244966507,0.0,1594715850.0409856
-0.2523382306098938,-0.11068956553936005,-0.1472209244966507,0.0,1594715850.0509593
-0.2523382306098938,-0.11068956553936005,-0.13227185606956482,0.0,1594715850.0609322
-0.2523382306098938,-0.11068956553936005,-0.13227185606956482,0.0,1594715850.0699081
-0.2523382306098938,-0.08117060363292694,-0.13227185606956482,0.0,1594715850.0818763
-0.2523382306098938,-0.08117060363292694,-0.13227185606956482,0.0,1594715850.0908532
