distance10,distance20,distance30,distance40,distance50,time
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.923068
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.9362233
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.9422011
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.9529607
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.961939
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.9729085
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.9828818
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140964.9928544
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140965.003825
0.0,0.40875351428985596,0.267193466424942,-0.24308471381664276,0.0,1595140965.012801
0.0,0.40875351428985596,0.267193466424942,-0.26579785346984863,0.0,1595140965.022779
0.0,0.40875351428985596,0.267193466424942,-0.26579785346984863,0.0,1595140965.032747
0.0,0.40875351428985596,0.267193466424942,-0.26579785346984863,0.0,1595140965.042721
0.0,0.40875351428985596,0.267193466424942,-0.26579785346984863,0.0,1595140965.060673
0.0,0.40875351428985596,0.267193466424942,-0.26579785346984863,0.0,1595140965.0616715
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.0716436
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.0816164
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.0915895
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.10256
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.113531
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.1225076
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.1324809
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.1414568
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.152427
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.1624014
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.1723742
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.182347
0.0,0.40875351428985596,0.267193466424942,-0.2656054198741913,0.0,1595140965.1953137
